REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,1,1000,41,90267.98800,0,0.00000,215.6,0.0,7.868,0.000,1358,0,1885358.18493,0.00000,15790.38326,0.00000,185.2,0.0,8.678,0.000
1,1,3000,26,84199.05200,0,0.00000,255.8,0.0,9.023,0.000,1438,2,2619524.66853,1899.13546,39759.97369,0.00000,213.5,157.9,8.671,10.001
1,1,4000,21,71031.83300,0,0.00000,217.6,0.0,9.827,0.000,743,1,1363600.09576,2261.22376,17989.69924,0.00000,186.3,159.4,8.986,7.000
1,1,5000,2,8442.00000,0,0.00000,269.6,0.0,8.573,0.000,18,0,60272.30995,0.00000,379.00040,0.00000,212.7,0.0,8.879,0.000
1,1,7000,5,13592.12100,0,0.00000,258.9,0.0,7.820,0.000,331,0,482021.68584,0.00000,10738.75002,0.00000,182.9,0.0,8.761,0.000
1,1,8000,1,1445.00000,0,0.00000,360.0,0.0,8.600,0.000,17,0,46707.62368,0.00000,0.00000,0.00000,193.7,0.0,8.051,0.000
1,1,10000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,2,0,2148.31250,0.00000,0.00000,0.00000,194.8,0.0,10.371,0.000
1,1,11000,2,6223.60300,0,0.00000,165.5,0.0,8.818,0.000,78,0,187169.71300,0.00000,4491.31797,0.00000,177.8,0.0,8.274,0.000
1,1,12000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,22,0,43881.84907,0.00000,0.00000,0.00000,207.2,0.0,8.779,0.000
1,1,14000,6,27614.47200,0,0.00000,212.8,0.0,8.283,0.000,273,0,414758.48811,0.00000,6852.26922,0.00000,176.3,0.0,8.655,0.000
1,1,15000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,23,0,70802.24712,0.00000,0.00000,0.00000,202.4,0.0,8.583,0.000
1,1,17000,1,4000.00000,0,0.00000,360.0,0.0,8.400,0.000,29,1,76426.83159,5475.35352,36.37300,225.80368,228.1,21.2,8.822,6.500
1,1,18000,17,37608.28200,0,0.00000,197.0,0.0,8.676,0.000,474,1,741415.52586,704.66943,11868.57866,0.00000,193.2,45.3,8.616,6.700
1,1,19000,3,14141.36700,0,0.00000,155.4,0.0,9.166,0.000,27,0,80648.83036,0.00000,0.12879,0.00000,200.2,0.0,8.123,0.000
1,1,20000,27,75930.48700,0,0.00000,238.9,0.0,8.749,0.000,884,0,1323013.94474,0.00000,29298.35235,0.00000,197.7,0.0,8.976,0.000
1,1,22000,30,82731.19700,0,0.00000,204.7,0.0,8.138,0.000,1297,1,2177575.47411,39275.98079,42625.64775,39275.98079,188.1,0.0,8.352,0.000
1,1,24000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,19,1,49885.57579,23208.79396,0.00000,23208.79396,206.7,0.0,8.198,0.000
1,1,25000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,32,0,72419.66639,0.00000,5788.35028,0.00000,230.7,0.0,8.224,0.000
1,1,26000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,1382.00825,0.00000,0.00000,0.00000,226.6,0.0,5.900,0.000
1,1,27000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,12,0,39209.42393,0.00000,0.00000,0.00000,202.9,0.0,8.054,0.000
1,1,28000,1,1040.00000,0,0.00000,144.1,0.0,8.200,0.000,35,0,174697.97209,0.00000,16175.88824,0.00000,162.5,0.0,9.232,0.000
1,1,29000,2,5226.20600,0,0.00000,169.6,0.0,9.236,0.000,108,1,152977.63267,8333.15618,1770.68236,0.00000,175.4,143.6,9.432,6.500
1,1,30000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,6,0,7434.14073,0.00000,0.00000,0.00000,225.0,0.0,9.115,0.000
1,1,32000,3,12990.00000,0,0.00000,313.9,0.0,8.641,0.000,94,0,195753.93545,0.00000,1.72183,0.00000,200.3,0.0,8.748,0.000
1,1,33000,2,6196.33600,0,0.00000,207.4,0.0,8.820,0.000,39,0,96458.34385,0.00000,2.96876,0.00000,223.6,0.0,8.575,0.000
1,1,34000,1,2975.00000,0,0.00000,240.2,0.0,8.600,0.000,16,0,45105.46641,0.00000,0.00000,0.00000,210.8,0.0,8.254,0.000
1,1,35000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,0,0,0.00000,0.00000,0.00000,0.00000,0.0,0.0,0.000,0.000
