REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,1,1000,39,78445.85800,0,0.00000,218.2,0.0,8.529,0.000,1377,0,1924698.77278,0.00000,14240.41187,0.00000,186.0,0.0,8.644,0.000
1,1,3000,24,72730.93500,0,0.00000,229.9,0.0,8.569,0.000,1441,2,2635814.41178,1824.48709,34405.13225,0.00000,213.9,157.7,8.624,10.000
1,1,4000,25,65786.21300,0,0.00000,217.2,0.0,9.587,0.000,756,1,1403889.50951,2182.80556,17061.12365,0.00000,187.1,158.4,8.922,7.000
1,1,5000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,18,0,60057.70540,0.00000,359.64239,0.00000,212.0,0.0,8.879,0.000
1,1,7000,9,24009.72400,0,0.00000,250.8,0.0,7.505,0.000,330,0,492118.99659,0.00000,10694.51584,0.00000,185.9,0.0,8.645,0.000
1,1,8000,1,2250.00000,0,0.00000,300.2,0.0,10.150,0.000,16,0,40088.52803,0.00000,0.00000,0.00000,213.6,0.0,8.270,0.000
1,1,10000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,2,0,2144.90504,0.00000,0.00000,0.00000,193.8,0.0,10.371,0.000
1,1,11000,2,4108.79600,0,0.00000,196.5,0.0,9.950,0.000,80,0,184478.65539,0.00000,4491.31797,0.00000,176.9,0.0,8.317,0.000
1,1,12000,1,2824.00000,0,0.00000,324.2,0.0,8.500,0.000,23,0,46514.35637,0.00000,0.00000,0.00000,213.5,0.0,8.778,0.000
1,1,14000,7,19287.91700,0,0.00000,227.3,0.0,9.021,0.000,276,0,423599.28258,0.00000,6795.29946,0.00000,178.5,0.0,8.657,0.000
1,1,15000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,22,0,67837.37874,0.00000,0.00000,0.00000,200.6,0.0,8.505,0.000
1,1,17000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,28,1,75039.90036,5239.50131,36.37300,370.69473,228.1,20.2,8.479,6.500
1,1,18000,12,27768.08000,0,0.00000,195.7,0.0,8.783,0.000,475,1,747103.27259,669.92942,10685.39288,0.00000,191.3,44.3,8.604,6.700
1,1,19000,2,10119.06700,0,0.00000,262.3,0.0,8.872,0.000,29,0,90395.57071,0.00000,0.38711,0.00000,206.5,0.0,8.144,0.000
1,1,20000,18,38527.50100,0,0.00000,199.4,0.0,8.886,0.000,891,0,1343106.14622,0.00000,29278.38918,0.00000,197.1,0.0,8.921,0.000
1,1,22000,19,60399.26000,0,0.00000,258.6,0.0,7.648,0.000,1295,1,2185596.66234,38066.40616,30354.94294,38066.40616,189.7,0.0,8.296,0.000
1,1,24000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,18,1,46995.57515,22494.03731,0.00000,22494.03731,208.9,0.0,8.161,0.000
1,1,25000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,31,0,71740.81520,0.00000,5792.40885,0.00000,230.4,0.0,8.220,0.000
1,1,26000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,1328.37104,0.00000,0.00000,0.00000,225.6,0.0,5.900,0.000
1,1,27000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,12,0,39005.20321,0.00000,0.00000,0.00000,202.4,0.0,8.052,0.000
