CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,197,154401,0,0,154403,0,2113,0,125.6,0.0,12.688,0.000
1,2015,1.1,1000,188,151248,0,0,150384,0,0,0,125.6,0.0,12.688,0.000
1,2015,1.1.1,1000,6,6249,0,0,3543,0,0,0,193.7,0.0,9.290,0.000
1,2659,1,1000,42,42645,0,0,1096,0,0,0,162.0,0.0,9.364,0.000
1,2659,1.1,1000,42,42645,0,0,1096,0,0,0,162.0,0.0,9.364,0.000
1,2659,1.1.1,1000,4,2870,0,0,0,0,0,0,162.0,0.0,9.364,0.000
3,232,1,3000,26,115830,0,0,315092,0,0,0,169.8,0.0,11.620,0.000
3,232,1,36000,0,0,0,0,1474,0,0,0,0.0,0.0,0.000,0.000
3,232,1,45000,1,3280,0,0,2793,0,0,0,179.7,0.0,10.500,0.000
3,232,1,46000,1,5700,0,0,5628,0,0,0,180.0,0.0,9.600,0.000
3,232,1,60000,1,4100,0,0,4100,0,0,0,143.3,0.0,10.300,0.000
3,232,1,70000,1,9600,0,0,9470,0,0,0,347.6,0.0,10.700,0.000
3,232,1.1,3000,24,114147,0,0,312817,0,0,0,171.0,0.0,11.618,0.000
3,232,1.1,36000,0,0,0,0,1474,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1,45000,1,3280,0,0,2793,0,0,0,179.7,0.0,10.500,0.000
3,232,1.1,46000,1,5700,0,0,5628,0,0,0,180.0,0.0,9.600,0.000
3,232,1.1,60000,1,4100,0,0,4100,0,0,0,143.3,0.0,10.300,0.000
3,232,1.1,70000,1,9600,0,0,9470,0,0,0,347.6,0.0,10.700,0.000
3,232,1.1.1,3000,1,2398,0,0,4875,0,0,0,239.4,0.0,10.000,0.000
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,70000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1,3000,3,3380,0,0,17769,0,75,0,187.4,0.0,12.856,0.000
3,478,1,35000,0,0,0,0,462,0,0,0,0.0,0.0,0.000,0.000
3,478,1,60000,0,0,0,0,1072,0,7,0,0.0,0.0,0.000,0.000
3,478,1.1,3000,3,3380,0,0,17769,0,75,0,187.4,0.0,12.856,0.000
3,478,1.1,35000,0,0,0,0,462,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,60000,0,0,0,0,1072,0,7,0,0.0,0.0,0.000,0.000
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,665,1,3000,0,0,0,0,754,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1,3000,0,0,0,0,754,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,1000,3,4800,0,0,9705,0,0,0,250.6,0.0,8.231,0.000
3,2518,1,3000,1585,2737651,0,0,7686298,0,54953,0,225.1,0.0,8.893,0.000
3,2518,1,4000,8,13727,0,0,23407,0,0,0,209.8,0.0,8.810,0.000
3,2518,1,5000,1,1667,0,0,2521,0,0,0,226.8,0.0,12.290,0.000
3,2518,1,7000,17,26295,0,0,85457,0,11,0,229.7,0.0,8.815,0.000
3,2518,1,8000,12,21562,0,0,20878,0,0,0,228.0,0.0,9.115,0.000
3,2518,1,10000,2,3240,0,0,3644,0,0,0,171.4,0.0,8.500,0.000
