REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,1,1000,32,65272.51815,0,0.00000,212.4,0.0,8.594,0.000,1322,0,1814718.07514,0.00000,16262.45488,0.00000,184.7,0.0,8.833,0.000
1,1,3000,15,35924.23000,0,0.00000,218.4,0.0,8.655,0.000,1430,2,2561416.71215,1941.04963,41531.39641,0.00000,213.9,158.2,8.705,10.001
1,1,4000,17,43184.32000,0,0.00000,218.6,0.0,9.139,0.000,714,1,1262653.61347,2290.16526,22753.71255,0.00000,182.6,161.4,9.033,7.000
1,1,5000,1,1630.00000,0,0.00000,192.1,0.0,9.950,0.000,17,0,53085.97694,0.00000,407.23864,0.00000,192.5,0.0,9.222,0.000
1,1,7000,5,13646.86600,0,0.00000,164.4,0.0,8.140,0.000,330,0,472885.50558,0.00000,10739.00367,0.00000,179.6,0.0,8.978,0.000
1,1,8000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,16,0,45893.43639,0.00000,0.00000,0.00000,189.7,0.0,8.018,0.000
1,1,10000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,2,0,2156.24977,0.00000,0.00000,0.00000,196.8,0.0,10.371,0.000
1,1,11000,1,1969.39900,0,0.00000,96.1,0.0,9.950,0.000,81,0,196112.95047,0.00000,4499.70031,0.00000,179.8,0.0,8.479,0.000
1,1,12000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,23,0,47747.04388,0.00000,0.00000,0.00000,215.9,0.0,8.751,0.000
1,1,14000,1,1300.00000,0,0.00000,216.2,0.0,8.500,0.000,274,0,398861.23542,0.00000,6852.77381,0.00000,173.5,0.0,8.696,0.000
1,1,15000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,26,0,79306.28732,0.00000,0.00000,0.00000,203.0,0.0,8.697,0.000
1,1,17000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,31,1,76269.97046,5898.38531,36.37300,172.83357,209.3,23.2,8.835,6.500
1,1,18000,12,23852.11600,0,0.00000,173.5,0.0,8.666,0.000,455,1,681838.92238,735.35651,12026.74732,0.00000,190.5,47.3,8.661,6.800
1,1,19000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,26,0,70975.12774,0.00000,0.45106,0.00000,209.0,0.0,8.246,0.000
1,1,20000,16,36570.78000,0,0.00000,211.2,0.0,9.132,0.000,853,0,1241111.07293,0.00000,27499.61047,0.00000,196.1,0.0,9.070,0.000
1,1,22000,20,53322.91700,0,0.00000,212.4,0.0,8.258,0.000,1283,1,2125911.04405,39480.02364,45248.55817,39480.02364,187.7,0.0,8.410,0.000
1,1,24000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,19,1,50268.17925,23329.36608,1737.73682,23329.36608,216.4,0.0,8.166,0.000
1,1,25000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,32,0,72951.64648,0.00000,5786.99104,0.00000,233.6,0.0,8.234,0.000
1,1,26000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,1391.09820,0.00000,0.00000,0.00000,228.6,0.0,5.900,0.000
1,1,27000,1,5285.00000,0,0.00000,240.2,0.0,9.950,0.000,10,0,32358.72654,0.00000,0.00000,0.00000,202.9,0.0,8.404,0.000
