CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,826,1,1000,1,2000,0,0,5211,0,512,0,119.9,0.0,12.0,0.0
1,826,1,28000,0,0,0,0,1467,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,1000,0,0,0,0,573,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,28000,0,0,0,0,1467,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1.1,28000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2015,1,1000,313,198928,0,0,83140,0,3342,0,76.7,0.0,15.6,0.0
1,2015,1.1,1000,310,197929,0,0,75114,0,1229,0,76.7,0.0,15.6,0.0
1,2015,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,1000,87,93980,0,0,31833,0,13,0,149.9,0.0,12.2,0.0
1,2388,1,32000,0,0,0,0,330,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,36000,1,700,0,0,0,0,0,0,347.7,0.0,13.8,0.0
1,2388,1,45000,0,0,0,0,3371,0,531,0,0.0,0.0,0.0,0.0
1,2388,1,84000,1,2000,0,0,1938,0,0,0,119.7,0.0,12.5,0.0
1,2388,1.1,1000,87,93980,0,0,31833,0,13,0,149.9,0.0,12.2,0.0
1,2388,1.1,32000,0,0,0,0,330,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,36000,1,700,0,0,0,0,0,0,347.7,0.0,13.8,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,531,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,1,2000,0,0,1938,0,0,0,119.7,0.0,12.5,0.0
1,2388,1.1.1,1000,12,18154,0,0,9991,0,0,0,170.7,0.0,10.8,0.0
1,2388,1.1.1,32000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,11,12484,0,0,664,0,0,0,188.0,0.0,13.1,0.0
1,2659,1.1,1000,11,12484,0,0,664,0,0,0,188.0,0.0,13.1,0.0
1,2659,1.1.1,1000,2,2168,0,0,0,0,0,0,188.0,0.0,13.1,0.0
3,232,1,3000,6,81000,0,0,114798,0,0,0,135.1,0.0,13.2,0.0
3,232,1.1,3000,6,81000,0,0,114336,0,0,0,135.1,0.0,13.2,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,430,1,18000,1,2600,0,0,2586,0,0,0,180.0,0.0,14.0,0.0
3,430,1,45000,2,190000,0,0,302652,0,0,0,207.1,0.0,16.1,0.0
3,430,1,46000,1,100000,0,0,100000,0,0,0,180.0,0.0,14.0,0.0
3,430,1,82000,1,30000,0,0,29940,0,0,0,240.0,0.0,16.0,0.0
3,430,1.1,18000,1,2600,0,0,2586,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1,45000,2,190000,0,0,302652,0,0,0,207.1,0.0,16.1,0.0
3,430,1.1,46000,1,100000,0,0,100000,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1,82000,1,30000,0,0,29940,0,0,0,240.0,0.0,16.0,0.0
3,430,1.1.1,18000,1,2600,0,0,2586,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1.1,45000,1,35000,0,0,147652,0,0,0,60.0,0.0,18.0,0.0
3,430,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,430,1.1.1,82000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1,3000,0,0,0,0,1903,0,0,0,0.0,0.0,0.0,0.0
3,456,1,14000,1,1000,0,0,917,0,0,0,36.0,0.0,23.0,0.0
3,456,1,17000,1,600,0,0,0,0,0,0,24.0,0.0,21.0,0.0
3,456,1,45000,3,63780,0,0,116115,0,0,0,65.0,0.0,20.0,0.0
3,456,1,46000,3,101230,0,0,101637,0,24,0,60.0,0.0,20.0,0.0
3,456,1.1,3000,0,0,0,0,1903,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,14000,1,1000,0,0,917,0,0,0,36.0,0.0,23.0,0.0
3,456,1.1,17000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,45000,0,0,0,0,45235,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,46000,1,40000,0,0,74907,0,24,0,60.0,0.0,20.0,0.0
3,456,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,14000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,17000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1,3000,0,0,0,0,1793,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,2888,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1371,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,3000,0,0,0,0,1793,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,2888,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1371,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,45000,0,0,0,0,155,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,4,7064,0,0,16970,0,0,0,230.9,0.0,12.4,0.0
3,478,1,45000,0,0,0,0,3778,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,4,7064,0,0,11428,0,0,0,230.9,0.0,12.4,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,2132,0,129,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,2132,0,129,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,3,2494,0,0,3319,0,0,0,144.2,0.0,11.7,0.0
3,2518,1,3000,1105,1562053,0,0,4714874,0,5261,0,200.8,0.0,11.4,0.0
3,2518,1,4000,3,4670,0,0,16258,0,0,0,133.1,0.0,12.4,0.0
3,2518,1,5000,0,0,0,0,1409,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,7000,13,22356,0,0,66971,0,4,0,224.9,0.0,11.9,0.0
3,2518,1,8000,4,5194,0,0,11749,0,1,0,156.5,0.0,11.7,0.0
3,2518,1,10000,2,3018,0,0,3368,0,0,0,136.3,0.0,11.9,0.0
3,2518,1,12000,1,1703,0,0,3988,0,0,0,179.9,0.0,11.9,0.0
3,2518,1,14000,0,0,0,0,3154,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,15000,1,500,0,0,18,0,0,0,239.2,0.0,8.8,0.0
3,2518,1,18000,7,8055,0,0,17208,0,1,0,207.1,0.0,11.3,0.0
