CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,200,144621,0,0,116695,0,2867,0,87.9,0.0,13.6,0.0
1,2015,1.1,1000,196,142069,0,0,111637,0,754,0,88.6,0.0,13.6,0.0
1,2015,1.1.1,1000,2,1080,0,0,616,0,0,0,163.3,0.0,10.6,0.0
1,2388,1,1000,46,31580,0,0,23389,0,35,0,104.4,0.0,10.6,0.0
1,2388,1,45000,0,0,0,0,3371,0,943,0,0.0,0.0,0.0,0.0
1,2388,1,84000,0,0,0,0,1819,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,1000,46,31580,0,0,23389,0,35,0,104.4,0.0,10.6,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,943,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,0,0,0,0,1819,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,1000,2,2099,0,0,0,0,0,0,154.3,0.0,10.8,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,49,53385,0,0,10813,0,0,0,160.0,0.0,10.2,0.0
1,2659,1.1,1000,49,53385,0,0,10813,0,0,0,160.0,0.0,10.2,0.0
1,2659,1.1.1,1000,6,7461,0,0,0,0,0,0,160.0,0.0,10.2,0.0
3,232,1,3000,16,149705,0,0,245790,0,0,0,151.7,0.0,11.0,0.0
3,232,1,36000,0,0,0,0,1599,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1,3000,16,149705,0,0,245790,0,0,0,151.7,0.0,11.0,0.0
3,232,1.1,36000,0,0,0,0,1599,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,4,6460,0,0,16291,0,111,0,188.3,0.0,11.8,0.0
3,478,1,35000,0,0,0,0,5392,0,0,0,0.0,0.0,0.0,0.0
3,478,1,45000,0,0,0,0,1511,0,0,0,0.0,0.0,0.0,0.0
3,478,1,60000,0,0,0,0,1079,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,4,6460,0,0,16291,0,111,0,188.3,0.0,11.8,0.0
3,478,1.1,35000,0,0,0,0,492,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,60000,0,0,0,0,1079,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,1526,0,19,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,1526,0,19,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,665,1,3000,0,0,0,0,800,0,0,0,0.0,0.0,0.0,0.0
3,665,1,79000,0,0,0,0,249,0,0,0,0.0,0.0,0.0,0.0
3,665,1.1,3000,0,0,0,0,800,0,0,0,0.0,0.0,0.0,0.0
3,665,1.1,79000,0,0,0,0,249,0,0,0,0.0,0.0,0.0,0.0
3,665,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,665,1.1.1,79000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,1,1927,0,0,4790,0,0,0,239.4,0.0,11.0,0.0
3,2518,1,3000,1556,2635678,0,0,6295416,0,13730,0,220.0,0.0,10.4,0.0
3,2518,1,4000,2,5416,0,0,13052,0,0,0,155.2,0.0,10.1,0.0
3,2518,1,5000,0,0,0,0,1216,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,7000,21,35752,0,0,79987,0,4,0,236.7,0.0,9.6,0.0
3,2518,1,8000,3,5089,0,0,12177,0,0,0,271.5,0.0,9.6,0.0
3,2518,1,10000,2,4420,0,0,5858,0,0,0,204.3,0.0,9.8,0.0
3,2518,1,11000,3,6674,0,0,6952,0,0,0,248.6,0.0,9.3,0.0
3,2518,1,12000,1,1235,0,0,4917,0,0,0,239.3,0.0,8.8,0.0
3,2518,1,14000,4,6747,0,0,8240,0,0,0,300.6,0.0,10.3,0.0
3,2518,1,18000,21,36348,0,0,41440,0,0,0,235.8,0.0,9.9,0.0
3,2518,1,19000,0,0,0,0,921,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,20000,3,5390,0,0,7832,0,0,0,239.6,0.0,10.1,0.0
3,2518,1,24000,1,2356,0,0,3577,0,0,0,95.7,0.0,11.9,0.0
3,2518,1,25000,4,5517,0,0,6738,0,0,0,202.1,0.0,10.2,0.0
3,2518,1,27000,0,0,0,0,2002,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,29000,0,0,0,0,545,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,30000,1,2323,0,0,2303,0,0,0,204.0,0.0,10.8,0.0
3,2518,1,32000,3,5038,0,0,11042,0,0,0,266.6,0.0,9.6,0.0
3,2518,1,33000,1,1459,0,0,2813,0,0,0,239.1,0.0,10.8,0.0
3,2518,1,35000,7,12594,0,0,15399,0,0,0,220.8,0.0,9.8,0.0
3,2518,1,36000,2,2977,0,0,1926,0,0,0,149.9,0.0,10.2,0.0
3,2518,1,37000,0,0,0,0,1050,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,38000,3,6265,0,0,6228,0,0,0,289.3,0.0,9.2,0.0
3,2518,1,40000,1,3800,0,0,1799,0,0,0,300.0,0.0,10.8,0.0
3,2518,1,41000,1,2782,0,0,3458,0,0,0,239.2,0.0,11.0,0.0
3,2518,1,42000,0,0,0,0,1356,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,44000,1,1611,0,0,2991,0,0,0,359.7,0.0,8.8,0.0
3,2518,1,45000,7,16702,0,0,32808,0,0,0,178.0,0.0,10.3,0.0
3,2518,1,46000,4,8954,0,0,13603,0,0,0,254.0,0.0,11.6,0.0
3,2518,1,47000,0,0,0,0,520,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,49000,0,0,0,0,1106,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,50000,1,1208,0,0,5182,0,0,0,287.3,0.0,10.8,0.0
3,2518,1,52000,4,6197,0,0,6940,0,0,0,249.9,0.0,10.5,0.0
3,2518,1,53000,10,15327,0,0,15991,0,0,0,266.2,0.0,10.2,0.0
3,2518,1,54000,1,1843,0,0,3418,0,0,0,299.5,0.0,10.8,0.0
3,2518,1,56000,0,0,0,0,1767,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,57000,0,0,0,0,1768,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,58000,2,1760,0,0,1741,0,0,0,359.4,0.0,13.0,0.0
3,2518,1,60000,288,504173,0,0,863014,0,1657,0,227.1,0.0,9.8,0.0
3,2518,1,61000,0,0,0,0,1134,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,63000,2,7544,0,0,11144,0,0,0,250.7,0.0,10.8,0.0
3,2518,1,64000,1,1275,0,0,3449,0,0,0,239.6,0.0,11.0,0.0
3,2518,1,65000,9,16627,0,0,19760,0,1,0,255.7,0.0,9.7,0.0
3,2518,1,66000,1,1850,0,0,1843,0,0,0,299.2,0.0,11.0,0.0
3,2518,1,67000,1,471,0,0,0,0,0,0,24.0,0.0,11.5,0.0
3,2518,1,69000,1,2167,0,0,7122,0,0,0,359.1,0.0,11.4,0.0
3,2518,1,70000,0,0,0,0,1728,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,71000,5,8180,0,0,36144,0,5,0,176.9,0.0,10.5,0.0
3,2518,1,71100,3,5419,0,0,23598,0,5,0,206.2,0.0,10.7,0.0
3,2518,1,71140,1,1662,0,0,8435,0,0,0,119.1,0.0,8.8,0.0
3,2518,1,73000,1,1050,0,0,1001,0,0,0,179.6,0.0,10.8,0.0
3,2518,1,75000,5,9683,0,0,13903,0,0,0,170.8,0.0,10.4,0.0
3,2518,1,76000,2,3314,0,0,4706,0,0,0,319.6,0.0,10.2,0.0
3,2518,1,77000,1,1760,0,0,2976,0,0,0,83.7,0.0,11.0,0.0
3,2518,1,78000,1,1056,0,0,2396,0,0,0,238.9,0.0,8.8,0.0
3,2518,1,79000,58,97642,0,0,200506,0,91,0,237.1,0.0,10.2,0.0
3,2518,1,80000,2,2260,0,0,12186,0,0,0,210.2,0.0,12.0,0.0
3,2518,1,82000,1,1600,0,0,6096,0,0,0,119.2,0.0,10.8,0.0
