CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,60,45512,0,0,128543,0,2152,0,123.4,0.0,12.850,0.000
1,2015,1.1,1000,51,42359,0,0,124193,0,39,0,123.4,0.0,12.850,0.000
1,2015,1.1.1,1000,2,2690,0,0,3188,0,0,0,248.3,0.0,9.440,0.000
1,2659,1,1000,16,13265,0,0,6462,0,0,0,150.0,0.0,9.540,0.000
1,2659,1.1,1000,16,13265,0,0,6462,0,0,0,150.0,0.0,9.540,0.000
1,2659,1.1.1,1000,3,2170,0,0,0,0,0,0,150.0,0.0,9.540,0.000
3,232,1,3000,12,45463,0,0,293824,0,0,0,165.1,0.0,10.894,0.000
3,232,1,36000,0,0,0,0,1551,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1,3000,10,43780,0,0,291169,0,0,0,168.2,0.0,10.875,0.000
3,232,1.1,36000,0,0,0,0,1551,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,3000,1,2398,0,0,6245,0,0,0,239.4,0.0,10.000,0.000
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1,3000,0,0,0,0,16098,0,180,0,0.0,0.0,0.000,0.000
3,478,1,35000,0,0,0,0,5263,0,0,0,0.0,0.0,0.000,0.000
3,478,1,45000,0,0,0,0,567,0,0,0,0.0,0.0,0.000,0.000
3,478,1,60000,0,0,0,0,1075,0,2,0,0.0,0.0,0.000,0.000
3,478,1.1,3000,0,0,0,0,16098,0,180,0,0.0,0.0,0.000,0.000
3,478,1.1,35000,0,0,0,0,480,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,60000,0,0,0,0,1075,0,2,0,0.0,0.0,0.000,0.000
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,518,1,3000,0,0,0,0,1410,0,1,0,0.0,0.0,0.000,0.000
3,518,1.1,3000,0,0,0,0,1410,0,1,0,0.0,0.0,0.000,0.000
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,665,1,3000,0,0,0,0,781,0,0,0,0.0,0.0,0.000,0.000
3,665,1,79000,0,0,0,0,169,0,19,0,0.0,0.0,0.000,0.000
3,665,1.1,3000,0,0,0,0,781,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1,79000,0,0,0,0,169,0,19,0,0.0,0.0,0.000,0.000
3,665,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1.1,79000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,1000,1,1350,0,0,6372,0,0,0,299.8,0.0,7.700,0.000
3,2518,1,3000,427,748816,0,0,6696494,0,51376,0,221.0,0.0,9.314,0.000
3,2518,1,4000,4,6657,0,0,18942,0,0,0,155.0,0.0,9.365,0.000
3,2518,1,5000,0,0,0,0,2711,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,7000,1,1600,0,0,73136,0,0,0,239.8,0.0,7.700,0.000
3,2518,1,8000,3,4994,0,0,12910,0,0,0,283.2,0.0,9.213,0.000
3,2518,1,10000,0,0,0,0,4457,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,11000,1,1737,0,0,7720,0,0,0,359.9,0.0,10.750,0.000
3,2518,1,12000,0,0,0,0,4742,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,14000,0,0,0,0,8196,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,18000,0,0,0,0,38921,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,19000,0,0,0,0,899,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,20000,1,2395,0,0,10102,0,0,0,239.9,0.0,7.700,0.000
3,2518,1,24000,0,0,0,0,3497,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,25000,1,2532,0,0,7949,0,0,0,239.0,0.0,10.250,0.000
3,2518,1,27000,0,0,0,0,1992,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,28000,0,0,0,0,1190,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,29000,0,0,0,0,2580,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,30000,0,0,0,0,2285,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,32000,1,1724,0,0,11317,0,0,0,239.4,0.0,7.700,0.000
3,2518,1,33000,0,0,0,0,1444,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,34000,0,0,0,0,1123,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,35000,3,4571,0,0,21923,0,0,0,165.5,0.0,7.700,0.000
3,2518,1,36000,4,7465,0,0,12011,0,0,0,198.7,0.0,7.700,0.000
3,2518,1,37000,0,0,0,0,1033,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,38000,0,0,0,0,6172,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,40000,4,11795,0,0,14546,0,0,0,201.6,0.0,9.827,0.000
3,2518,1,41000,0,0,0,0,656,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,42000,0,0,0,0,1310,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,44000,2,5886,0,0,8838,0,0,0,305.5,0.0,9.167,0.000
3,2518,1,45000,2,3498,0,0,33888,0,0,0,300.2,0.0,10.750,0.000
3,2518,1,46000,2,4602,0,0,17280,0,0,0,239.8,0.0,8.864,0.000
3,2518,1,47000,0,0,0,0,378,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,49000,1,2086,0,0,3180,0,0,0,241.0,0.0,7.700,0.000
3,2518,1,50000,1,2870,0,0,6986,0,0,0,180.0,0.0,10.790,0.000
3,2518,1,52000,2,2107,0,0,8199,0,0,0,215.0,0.0,8.881,0.000
3,2518,1,53000,0,0,0,0,15852,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,54000,0,0,0,0,3387,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,56000,0,0,0,0,1751,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,57000,1,2189,0,0,3902,0,0,0,179.8,0.0,10.750,0.000
3,2518,1,58000,0,0,0,0,1734,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,60000,101,173073,0,0,1013287,0,1623,0,239.1,0.0,8.164,0.000
3,2518,1,61000,0,0,0,0,1122,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,63000,2,3682,0,0,17620,0,0,0,165.3,0.0,7.700,0.000
3,2518,1,64000,1,6970,0,0,10306,0,0,0,119.8,0.0,10.490,0.000
3,2518,1,65000,3,7824,0,0,31999,0,0,0,230.1,0.0,9.248,0.000
3,2518,1,66000,0,0,0,0,1837,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,69000,1,1375,0,0,8417,0,0,0,180.0,0.0,10.250,0.000
3,2518,1,70000,0,0,0,0,1710,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,71000,7,9654,0,0,38118,0,0,0,167.2,0.0,9.303,0.000
3,2518,1,71100,6,8423,0,0,27085,0,0,0,174.2,0.0,9.278,0.000
3,2518,1,71140,0,0,0,0,9136,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,73000,0,0,0,0,989,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,75000,0,0,0,0,13180,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,76000,0,0,0,0,4643,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,77000,0,0,0,0,2747,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,78000,1,1676,0,0,4021,0,0,0,155.8,0.0,10.270,0.000
3,2518,1,79000,13,20390,0,0,194087,0,99,0,199.1,0.0,9.483,0.000
3,2518,1,80000,0,0,0,0,11787,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,82000,0,0,0,0,7383,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,83000,1,1444,0,0,21030,0,0,0,132.0,0.0,7.700,0.000
3,2518,1,85000,1,1841,0,0,9840,0,0,0,239.9,0.0,7.700,0.000
3,2518,1,87000,3,3562,0,0,8101,0,8,0,182.5,0.0,9.416,0.000
3,2518,1,89000,1,1531,0,0,1531,0,0,0,359.6,0.0,7.700,0.000
3,2518,1,90000,1,2220,0,0,6336,0,0,0,360.0,0.0,7.700,0.000
3,2518,1,91000,1,1650,0,0,10620,0,0,0,239.9,0.0,9.490,0.000
3,2518,1,92000,0,0,0,0,600,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,94000,0,0,0,0,2228,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,98000,1,2095,0,0,7183,0,0,0,335.8,0.0,10.750,0.000
3,2518,1.1,1000,1,1350,0,0,6372,0,0,0,299.8,0.0,7.700,0.000
3,2518,1.1,3000,427,748816,0,0,6696494,0,51376,0,221.0,0.0,9.314,0.000
3,2518,1.1,4000,4,6657,0,0,18942,0,0,0,155.0,0.0,9.365,0.000
3,2518,1.1,5000,0,0,0,0,2711,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,7000,1,1600,0,0,73136,0,0,0,239.8,0.0,7.700,0.000
3,2518,1.1,8000,3,4994,0,0,12910,0,0,0,283.2,0.0,9.213,0.000
3,2518,1.1,10000,0,0,0,0,4457,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,11000,1,1737,0,0,7720,0,0,0,359.9,0.0,10.750,0.000
3,2518,1.1,12000,0,0,0,0,4742,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,14000,0,0,0,0,8196,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,18000,0,0,0,0,38921,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,19000,0,0,0,0,899,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,20000,1,2395,0,0,10102,0,0,0,239.9,0.0,7.700,0.000
3,2518,1.1,24000,0,0,0,0,3497,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,25000,1,2532,0,0,7949,0,0,0,239.0,0.0,10.250,0.000
3,2518,1.1,27000,0,0,0,0,1992,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,28000,0,0,0,0,1190,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,29000,0,0,0,0,2580,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,30000,0,0,0,0,2285,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,32000,1,1724,0,0,11317,0,0,0,239.4,0.0,7.700,0.000
3,2518,1.1,33000,0,0,0,0,1444,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,34000,0,0,0,0,1123,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,35000,3,4571,0,0,21923,0,0,0,165.5,0.0,7.700,0.000
3,2518,1.1,36000,4,7465,0,0,12011,0,0,0,198.7,0.0,7.700,0.000
3,2518,1.1,37000,0,0,0,0,1033,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,38000,0,0,0,0,6172,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,40000,4,11795,0,0,14546,0,0,0,201.6,0.0,9.827,0.000
3,2518,1.1,41000,0,0,0,0,656,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,42000,0,0,0,0,1310,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,44000,2,5886,0,0,8838,0,0,0,305.5,0.0,9.167,0.000
3,2518,1.1,45000,2,3498,0,0,33888,0,0,0,300.2,0.0,10.750,0.000
3,2518,1.1,46000,2,4602,0,0,17280,0,0,0,239.8,0.0,8.864,0.000
3,2518,1.1,47000,0,0,0,0,378,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,49000,1,2086,0,0,3180,0,0,0,241.0,0.0,7.700,0.000
3,2518,1.1,50000,1,2870,0,0,6986,0,0,0,180.0,0.0,10.790,0.000
3,2518,1.1,52000,2,2107,0,0,8199,0,0,0,215.0,0.0,8.881,0.000
3,2518,1.1,53000,0,0,0,0,15852,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,54000,0,0,0,0,3387,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,56000,0,0,0,0,1751,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,57000,1,2189,0,0,3902,0,0,0,179.8,0.0,10.750,0.000
3,2518,1.1,58000,0,0,0,0,1734,0,0,0,0.0,0.0,0.000,0.000
3,2518,1.1,60000,101,173073,0,0,1013287,0,1623,0,239.1,0.0,8.164,0.000
