CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,168,133605,0,0,159710,0,2113,0,124.8,0.0,12.690,0.000
1,2015,1.1,1000,159,130452,0,0,155611,0,0,0,124.9,0.0,12.870,0.000
1,2015,1.1.1,1000,5,5749,0,0,4801,0,0,0,205.3,0.0,9.290,0.000
1,2659,1,1000,37,36678,0,0,10132,0,0,0,156.0,0.0,9.229,0.000
1,2659,1.1,1000,37,36678,0,0,10132,0,0,0,156.0,0.0,9.229,0.000
1,2659,1.1.1,1000,4,2870,0,0,0,0,0,0,156.0,0.0,9.229,0.000
3,232,1,3000,24,111252,0,0,327327,0,0,0,161.9,0.0,11.408,0.000
3,232,1,36000,0,0,0,0,1496,0,0,0,0.0,0.0,0.000,0.000
3,232,1,45000,1,3280,0,0,2807,0,0,0,179.7,0.0,10.500,0.000
3,232,1,46000,1,5700,0,0,5658,0,0,0,180.0,0.0,9.600,0.000
3,232,1.1,3000,22,109569,0,0,324975,0,0,0,163.1,0.0,11.404,0.000
3,232,1.1,36000,0,0,0,0,1496,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1,45000,1,3280,0,0,2807,0,0,0,179.7,0.0,10.500,0.000
3,232,1.1,46000,1,5700,0,0,5658,0,0,0,180.0,0.0,9.600,0.000
3,232,1.1.1,3000,1,2398,0,0,5382,0,0,0,239.4,0.0,10.000,0.000
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1,3000,3,3380,0,0,18384,0,271,0,187.4,0.0,12.856,0.000
3,478,1,35000,0,0,0,0,467,0,0,0,0.0,0.0,0.000,0.000
3,478,1,60000,0,0,0,0,1072,0,4,0,0.0,0.0,0.000,0.000
3,478,1.1,3000,3,3380,0,0,18384,0,271,0,187.4,0.0,12.856,0.000
3,478,1.1,35000,0,0,0,0,467,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,60000,0,0,0,0,1072,0,4,0,0.0,0.0,0.000,0.000
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,518,1,3000,0,0,0,0,1337,0,22,0,0.0,0.0,0.000,0.000
3,518,1.1,3000,0,0,0,0,1337,0,22,0,0.0,0.0,0.000,0.000
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,665,1,3000,0,0,0,0,762,0,0,0,0.0,0.0,0.000,0.000
3,665,1,79000,0,0,0,0,44,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1,3000,0,0,0,0,762,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1,79000,0,0,0,0,44,0,0,0,0.0,0.0,0.000,0.000
