REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,1,1000,33,66654.49800,0,0.00000,218.4,0.0,8.178,0.000,1318,0,1799406.79923,0.00000,21053.32797,0.00000,184.7,0.0,8.891,0.000
1,1,3000,31,80145.60800,0,0.00000,239.4,0.0,8.036,0.000,1439,2,2578286.43938,1937.38910,41515.72772,0.00000,214.2,158.4,8.739,10.001
1,1,4000,14,34923.32900,0,0.00000,199.1,0.0,9.746,0.000,707,1,1246562.12319,2275.02615,28641.35489,0.00000,182.3,162.4,9.087,7.000
1,1,5000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,16,0,51705.65344,0.00000,413.82298,0.00000,193.3,0.0,9.204,0.000
1,1,7000,11,30261.98000,0,0.00000,224.5,0.0,9.453,0.000,334,0,477287.64444,0.00000,12520.17977,0.00000,180.3,0.0,9.122,0.000
1,1,8000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,17,0,49270.03778,0.00000,0.00000,0.00000,198.5,0.0,8.066,0.000
1,1,10000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,2,0,2160.12745,0.00000,0.00000,0.00000,197.9,0.0,10.370,0.000
1,1,11000,4,7184.71700,0,0.00000,217.6,0.0,9.440,0.000,80,0,196039.98630,0.00000,4499.70031,0.00000,181.1,0.0,8.517,0.000
1,1,12000,1,4074.93700,0,0.00000,180.1,0.0,7.900,0.000,23,0,48910.74656,0.00000,0.00000,0.00000,215.8,0.0,8.735,0.000
1,1,14000,6,18017.82500,0,0.00000,192.5,0.0,9.338,0.000,278,0,405252.10987,0.00000,6851.95101,0.00000,174.1,0.0,8.798,0.000
1,1,15000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,27,0,80385.11983,0.00000,0.00000,0.00000,204.6,0.0,8.697,0.000
1,1,17000,2,14000.00000,0,0.00000,240.2,0.0,8.071,0.000,31,1,76853.52793,5886.82150,36.37300,0.00000,209.8,24.2,8.836,6.500
1,1,18000,19,31201.30600,0,0.00000,167.9,0.0,7.875,0.000,449,1,673342.86732,740.60384,14155.64937,0.00000,191.8,48.4,8.679,6.800
1,1,19000,2,6799.05300,0,0.00000,244.2,0.0,9.950,0.000,26,0,71358.24439,0.00000,0.59202,0.00000,209.7,0.0,8.269,0.000
1,1,20000,25,69449.45700,0,0.00000,232.5,0.0,8.161,0.000,848,0,1230042.67733,0.00000,27511.66486,0.00000,196.9,0.0,9.131,0.000
1,1,22000,32,89431.57800,0,0.00000,220.6,0.0,6.897,0.000,1285,1,2118925.75590,39066.27009,45312.97526,39066.27009,187.8,0.0,8.427,0.000
1,1,24000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,19,1,52639.53858,23084.87261,1737.73682,23084.87261,219.2,0.0,8.181,0.000
1,1,25000,1,3000.00000,0,0.00000,240.2,0.0,5.590,0.000,34,0,78680.77768,0.00000,5785.80808,0.00000,231.2,0.0,8.205,0.000
1,1,26000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,1395.12932,0.00000,0.00000,0.00000,229.6,0.0,5.900,0.000
1,1,27000,1,2095.06100,0,0.00000,84.1,0.0,9.950,0.000,10,0,30799.56078,0.00000,0.00000,0.00000,197.6,0.0,8.021,0.000
1,1,28000,2,13300.00000,0,0.00000,210.4,0.0,9.712,0.000,38,0,185657.56460,0.00000,23704.61425,0.00000,169.2,0.0,9.119,0.000
1,1,29000,1,5680.00000,0,0.00000,240.2,0.0,8.300,0.000,109,1,169599.92601,8404.83909,42.72985,0.00000,171.6,146.6,9.507,6.500
1,1,30000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,5,0,4688.43401,0.00000,0.00000,0.00000,218.5,0.0,9.728,0.000
1,1,32000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,96,0,198195.42860,0.00000,2032.11803,0.00000,197.0,0.0,8.889,0.000
1,1,33000,2,6899.36800,0,0.00000,263.9,0.0,6.491,0.000,38,0,92182.54190,0.00000,493.53379,0.00000,227.2,0.0,8.591,0.000
1,1,34000,1,2900.00000,0,0.00000,156.1,0.0,9.950,0.000,16,0,44336.53365,0.00000,0.00000,0.00000,211.5,0.0,8.176,0.000
1,1,35000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,0,0,0.00000,0.00000,0.00000,0.00000,0.0,0.0,0.000,0.000
1,1,36000,14,35132.49100,0,0.00000,201.5,0.0,9.209,0.000,1065,0,1628154.13007,0.00000,49067.07119,0.00000,201.2,0.0,9.343,0.000
1,1,37000,1,1593.15300,0,0.00000,120.1,0.0,9.450,0.000,37,0,63794.99608,0.00000,1772.13538,0.00000,207.5,0.0,9.066,0.000
1,1,38000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,24,0,64977.84011,0.00000,3233.24408,0.00000,231.9,0.0,8.292,0.000
1,1,40000,136,571914.74900,0,0.00000,207.5,0.0,8.727,0.000,4112,35,11864947.77030,106383.81304,96110.00311,17392.01682,192.1,142.7,8.524,6.862
1,1,41000,30,106796.65800,0,0.00000,244.4,0.0,7.837,0.000,850,4,1896902.22580,10596.26799,34430.12400,0.00000,196.4,125.5,8.556,8.822
1,1,42000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,134,0,187893.78969,0.00000,1390.92400,0.00000,207.4,0.0,9.055,0.000
1,1,44000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,6,0,15029.71604,0.00000,0.00000,0.00000,233.3,0.0,7.971,0.000
1,1,45000,86,609695.52200,0,0.00000,230.9,0.0,8.958,0.000,2972,65,13713652.41527,979458.62738,192561.37756,512330.44179,201.3,191.5,8.592,7.066
1,1,46000,75,345609.21300,0,0.00000,219.3,0.0,8.949,0.000,1931,28,5908797.51958,208406.23538,202152.99541,43652.73505,198.4,65.6,8.858,8.107
1,1,47000,2,4586.87700,0,0.00000,185.0,0.0,8.932,0.000,37,1,105692.40735,1116.04817,1459.14280,0.00000,226.7,31.7,8.240,6.300
1,1,49000,1,3953.00000,0,0.00000,120.1,0.0,9.950,0.000,30,1,73035.83314,83.38736,0.00000,0.00000,198.4,13.8,8.469,6.500
1,1,50000,19,50184.00900,0,0.00000,188.4,0.0,9.412,0.000,1094,0,1862617.06260,0.00000,13599.91594,0.00000,189.9,0.0,9.011,0.000
1,1,52000,38,82363.53200,0,0.00000,236.6,0.0,9.024,0.000,982,0,1395326.94122,0.00000,19841.66309,0.00000,199.8,0.0,8.805,0.000
1,1,53000,1,1480.00000,0,0.00000,240.2,0.0,8.500,0.000,54,0,134979.93325,0.00000,4369.06939,0.00000,241.5,0.0,8.260,0.000
1,1,54000,1,7500.00000,0,0.00000,204.1,0.0,8.300,0.000,12,0,45431.34174,0.00000,22.25463,0.00000,212.4,0.0,8.416,0.000
1,1,56000,3,8619.18700,0,0.00000,245.7,0.0,8.355,0.000,21,1,60352.25950,3841.22641,0.00000,0.00000,226.1,87.8,8.254,7.000
1,1,57000,14,36971.37400,0,0.00000,235.0,0.0,8.665,0.000,728,3,1042728.45612,19170.78346,38600.78360,17862.73134,186.5,97.5,8.931,6.107
1,1,58000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,34,0,88996.73516,0.00000,2541.30989,0.00000,206.8,0.0,8.316,0.000
1,1,60000,24,81297.31700,0,0.00000,183.0,0.0,9.904,0.000,1146,6,1811553.69574,13761.90044,52186.90986,14.89929,187.6,114.4,8.851,7.868
1,1,61000,1,2700.00000,0,0.00000,360.0,0.0,9.950,0.000,21,0,63123.03772,0.00000,3939.73535,0.00000,209.2,0.0,8.966,0.000
1,1,63000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,454,1,582406.18747,2550.54966,11636.63437,0.00000,204.4,62.6,9.482,8.000
1,1,64000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,5,0,9384.24014,0.00000,0.00000,0.00000,203.4,0.0,9.027,0.000
1,1,65000,42,108509.01300,0,0.00000,203.2,0.0,9.282,0.000,1546,3,2915414.51138,29328.98747,53777.40685,44.86721,187.0,156.8,8.988,7.479
1,1,66000,1,2741.65900,0,0.00000,144.2,0.0,9.900,0.000,23,0,69826.29786,0.00000,0.00000,0.00000,189.0,0.0,8.538,0.000
1,1,67000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,1229.80495,0.00000,0.00000,0.00000,87.8,0.0,12.750,0.000
1,1,68000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,18,0,40528.29360,0.00000,0.00000,0.00000,213.4,0.0,8.491,0.000
1,1,69000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,18,0,50058.73354,0.00000,1332.59997,0.00000,202.9,0.0,8.394,0.000
1,1,70000,5,19133.43500,0,0.00000,233.7,0.0,9.130,0.000,39,0,156668.39942,0.00000,4.12534,0.00000,235.7,0.0,9.573,0.000
1,1,71000,5,16092.73600,0,0.00000,225.3,0.0,8.788,0.000,480,0,905432.62213,0.00000,22433.39230,0.00000,204.3,0.0,9.053,0.000
1,1,71100,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,10,0,22203.03045,0.00000,0.00000,0.00000,203.0,0.0,8.700,0.000
1,1,71140,2,7220.00000,0,0.00000,240.2,0.0,8.500,0.000,25,0,62224.24740,0.00000,0.00100,0.00000,191.1,0.0,8.423,0.000
1,1,73000,1,1224.73800,0,0.00000,360.0,0.0,9.950,0.000,29,0,71685.97246,0.00000,18.49824,0.00000,202.6,0.0,9.310,0.000
1,1,75000,16,27878.24200,0,0.00000,180.9,0.0,8.533,0.000,1058,1,1244030.71006,4199.32237,44569.93487,0.00000,175.1,125.9,9.439,6.200
1,1,76000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,5,1,7714.93134,7771.93103,0.00000,0.00000,219.9,112.5,8.379,7.500
1,1,77000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,0,0,0.00000,0.00000,0.00000,0.00000,0.0,0.0,0.000,0.000
1,1,78000,1,2842.46700,0,0.00000,156.1,0.0,9.950,0.000,18,1,67827.46513,6280.73178,1.22275,0.00000,236.6,205.3,8.147,5.000
1,1,79000,2,4290.00000,0,0.00000,231.9,0.0,9.294,0.000,78,0,127198.98906,0.00000,7.17706,0.00000,218.7,0.0,8.782,0.000
1,1,80000,25,73033.43000,0,0.00000,230.7,0.0,7.997,0.000,1064,0,1937657.94831,0.00000,25326.77036,0.00000,198.7,0.0,8.806,0.000
1,1,81000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,10,0,28523.74005,0.00000,0.00000,0.00000,234.7,0.0,8.443,0.000
1,1,82000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,13,0,31546.94166,0.00000,0.00000,0.00000,189.4,0.0,9.326,0.000
1,1,83000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,19,0,53508.80414,0.00000,8.91783,0.00000,194.5,0.0,8.364,0.000
1,1,84000,1,2208.81000,0,0.00000,276.2,0.0,5.590,0.000,5,0,8223.62763,0.00000,0.00000,0.00000,187.2,0.0,7.719,0.000
1,1,85000,1,1895.40700,0,0.00000,132.1,0.0,9.950,0.000,6,0,11171.30862,0.00000,0.00000,0.00000,225.8,0.0,8.398,0.000
1,1,86000,1,1000.00000,0,0.00000,84.1,0.0,9.950,0.000,26,0,85582.05779,0.00000,0.00000,0.00000,245.6,0.0,8.124,0.000
1,1,87000,2,22284.50000,0,0.00000,307.8,0.0,8.041,0.000,29,0,86977.09851,0.00000,2301.45701,0.00000,238.4,0.0,8.458,0.000
1,1,88000,1,6800.00000,0,0.00000,216.2,0.0,7.700,0.000,17,0,36672.23781,0.00000,0.00000,0.00000,220.1,0.0,8.795,0.000
1,1,89000,2,12776.86600,0,0.00000,334.8,0.0,8.462,0.000,22,0,74308.32032,0.00000,0.00000,0.00000,268.1,0.0,8.441,0.000
1,1,90000,1,1500.00000,0,0.00000,180.1,0.0,9.950,0.000,12,0,29735.11563,0.00000,0.00000,0.00000,259.5,0.0,9.061,0.000
1,1,91000,1,2300.00000,0,0.00000,300.2,0.0,8.500,0.000,29,0,50260.22795,0.00000,0.00000,0.00000,187.2,0.0,8.432,0.000
1,1,92000,18,52843.28800,0,0.00000,227.9,0.0,8.765,0.000,712,0,1443117.33529,0.00000,16726.06856,0.00000,202.0,0.0,8.886,0.000
1,1,93000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,4,0,6476.13348,0.00000,0.00000,0.00000,190.2,0.0,11.292,0.000
1,1,94000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,32,0,94225.11530,0.00000,0.00000,0.00000,225.6,0.0,8.342,0.000
1,1,95000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,13,0,27083.03039,0.00000,1790.81696,0.00000,206.5,0.0,8.383,0.000
1,1,96000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,4,0,12948.82497,0.00000,0.00000,0.00000,208.4,0.0,8.339,0.000
1,1,97000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,23,0,57902.81084,0.00000,2.59103,0.00000,205.1,0.0,8.167,0.000
1,1,98000,1,2800.00000,0,0.00000,276.2,0.0,9.950,0.000,15,0,38281.80439,0.00000,417.13951,0.00000,223.4,0.0,8.495,0.000
1,1,99000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,994.68666,0.00000,11.56395,0.00000,168.9,0.0,13.000,0.000
1,1.1,1000,33,66654.49800,0,0.00000,218.4,0.0,8.178,0.000,1318,0,1799406.79923,0.00000,21053.32797,0.00000,184.7,0.0,8.891,0.000
1,1.1,3000,31,80145.60800,0,0.00000,239.4,0.0,8.036,0.000,1439,2,2578286.43938,1937.38910,41515.72772,0.00000,214.2,158.4,8.739,10.001
