REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,"1",56000,2,3964.02,0,0,156,0,9.95,0,23,1,63701.75318,3837.94677,0,0,220.3,85.8,8.299,7
1,"1",57000,22,54916.905,0,0,199.7,0,9.386,0,732,3,1063556.08876,19460.44434,37744.1896,18159.43034,184.8,95.4,8.87,6.071
1,"1",58000,1,5723,0,0,360,0,4.99,0,35,0,93473.45113,0,2546.02838,0,214.8,0,7.974,0
1,"1",60000,45,109660.668,0,0,220.9,0,8.782,0,1170,5,1881324.49621,11361.17711,51161.50608,0,189,122.8,8.776,7.452
1,"1",61000,0,0,0,0,0,0,0,0,20,0,59261.33533,0,3939.73535,0,210,0,8.98,0
1,"1",63000,3,7038.874,0,0,246.4,0,8.048,0,449,1,574104.60061,2526.97089,12080.44656,0,202.3,60.5,9.421,8
1,"1",64000,0,0,0,0,0,0,0,0,4,0,7683.42989,0,1.42184,0,210.4,0,9.252,0
1,"1",65000,48,117853.14898,0,0,199.2,0,9.138,0,1577,3,2986446.49846,29607.06842,51699.22525,3199.03625,186.2,161.9,8.903,7.242
1,"1",66000,1,6300,0,0,180.1,0,8.2,0,23,0,69672.44657,0,14.79533,0,180.8,0,8.514,0
1,"1",67000,0,0,0,0,0,0,0,0,1,0,1212.12045,0,0,0,85.8,0,12.75,0
1,"1",68000,1,2439,0,0,240.2,0,8.2,0,18,0,38525.65407,0,0,0,217.8,0,8.465,0
1,"1",69000,1,1960,0,0,240.2,0,8.2,0,17,0,50265.87858,0,1332.59997,0,204.6,0,8.36,0
1,"1",70000,3,20920.716,0,0,286.3,0,6.704,0,40,0,174528.4263,0,6.27432,0,246.1,0,8.98,0
1,"1",71000,5,16109.178,0,0,202.4,0,9.712,0,472,0,892041.60221,0,21593.26851,0,202.6,0,9.052,0
1,"1",71100,2,6316.678,0,0,222.7,0,9.95,0,12,0,27750.8042,0,0,0,209.1,0,9.383,0
1,"1",71140,0,0,0,0,0,0,0,0,23,0,61168.39431,0,0.001,0,189.7,0,8.412,0
1,"1",73000,1,6519.5,0,0,300.2,0,8.6,0,30,0,77572.31232,0,0,0,209.3,0,8.964,0
1,"1",75000,17,36668.008,0,0,222.1,0,8.442,0,1051,1,1248006.76701,4220.76909,43962.79516,0,175.2,123.8,9.389,6.2
1,"1",76000,1,9004.05,0,0,360,0,8.6,0,4,1,14953.01776,7801.20988,0,0,308.3,110.5,8.434,7.5
1,"1",77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1",78000,1,2350,0,0,300.2,0,8.2,0,20,1,75698.15755,6284.3724,1484.14614,0,244.6,203.3,7.942,5
1,"1",79000,2,14420,0,0,205.1,0,9.565,0,78,0,128660.94928,0,1.68255,0,210.4,0,8.865,0
1,"1",80000,31,83912.999,0,0,215.9,0,8.521,0,1069,0,1961898.74812,0,27337.65545,0,198.7,0,8.747,0
1,"1",81000,1,6557.37,0,0,300.3,0,9.95,0,11,0,40135.97285,0,0,0,225.1,0,8.43,0
1,"1",82000,1,6076,0,0,144.1,0,9.95,0,16,0,43775.94806,0,0,0,185.5,0,9.347,0
1,"1",83000,0,0,0,0,0,0,0,0,18,0,52891.06803,0,8.44655,0,205.1,0,8.389,0
1,"1",84000,0,0,0,0,0,0,0,0,5,0,7804.27831,0,0,0,181.4,0,7.861,0
1,"1",85000,1,6664.951,0,0,324.2,0,9.95,0,7,0,17778.24908,0,0,0,261.3,0,9.012,0
1,"1",86000,2,4747.307,0,0,344.1,0,8.612,0,24,0,80288.61142,0,0,0,251.4,0,8.128,0
1,"1",87000,1,5505.813,0,0,180.1,0,9.95,0,31,0,93599.68604,0,2301.45701,0,234.4,0,8.403,0
