CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,4,1761,0,0,77817,0,2283,0,12.0,0.0,18.0,0.0
1,2015,1.1,1000,4,1761,0,0,70465,0,170,0,12.0,0.0,18.0,0.0
1,2015,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,1000,1,453,0,0,33899,0,5,0,2.9,0.0,17.0,0.0
1,2388,1,45000,0,0,0,0,3371,0,595,0,0.0,0.0,0.0,0.0
1,2388,1,84000,0,0,0,0,1920,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,1000,1,453,0,0,33899,0,5,0,2.9,0.0,17.0,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,595,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,0,0,0,0,1920,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,0,0,0,0,659,0,0,0,0.0,0.0,0.0,0.0
1,2659,1.1,1000,0,0,0,0,659,0,0,0,0.0,0.0,0.0,0.0
1,2659,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,232,1,3000,1,3650,0,0,126301,0,0,0,83.7,0.0,14.0,0.0
3,232,1,36000,0,0,0,0,1664,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1,3000,1,3650,0,0,125889,0,0,0,83.7,0.0,14.0,0.0
3,232,1.1,36000,0,0,0,0,1664,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1,3000,0,0,0,0,1866,0,5,0,0.0,0.0,0.0,0.0
3,456,1,14000,0,0,0,0,861,0,0,0,0.0,0.0,0.0,0.0
3,456,1,45000,0,0,0,0,135735,0,0,0,0.0,0.0,0.0,0.0
3,456,1,46000,0,0,0,0,127565,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,3000,0,0,0,0,1866,0,5,0,0.0,0.0,0.0,0.0
3,456,1.1,14000,0,0,0,0,861,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,45000,0,0,0,0,79435,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,46000,0,0,0,0,100500,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,14000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1,3000,0,0,0,0,1786,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,2827,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1350,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,3000,0,0,0,0,1786,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,2827,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1350,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,45000,0,0,0,0,112,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,0,0,0,0,16789,0,19,0,0.0,0.0,0.0,0.0
3,478,1,45000,0,0,0,0,3400,0,0,0,0.0,0.0,0.0,0.0
3,478,1,60000,0,0,0,0,1089,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,0,0,0,0,11364,0,19,0,0.0,0.0,0.0,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,60000,0,0,0,0,1089,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,2075,0,111,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,2075,0,111,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,0,0,0,0,3291,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,3000,76,128311,0,0,4788774,0,4115,0,207.3,0.0,11.4,0.0
3,2518,1,4000,0,0,0,0,15790,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,5000,0,0,0,0,1351,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,7000,0,0,0,0,66121,0,1,0,0.0,0.0,0.0,0.0
3,2518,1,8000,0,0,0,0,10492,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,10000,0,0,0,0,3328,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,11000,0,0,0,0,384,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,12000,0,0,0,0,3954,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,14000,0,0,0,0,3021,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,15000,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,18000,1,2000,0,0,17917,0,1,0,155.2,0.0,12.9,0.0
3,2518,1,19000,0,0,0,0,972,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,20000,0,0,0,0,3374,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,24000,0,0,0,0,1377,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,25000,0,0,0,0,2412,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,27000,0,0,0,0,2023,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,28000,0,0,0,0,1313,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,29000,0,0,0,0,882,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,30000,0,0,0,0,464,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,32000,0,0,0,0,11408,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,33000,0,0,0,0,2954,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,35000,0,0,0,0,5414,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,36000,1,1477,0,0,1939,0,0,0,59.4,0.0,11.8,0.0
3,2518,1,37000,0,0,0,0,1309,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,40000,0,0,0,0,1298,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,41000,0,0,0,0,759,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,42000,0,0,0,0,1463,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,44000,0,0,0,0,1907,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,45000,0,0,0,0,21716,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,46000,0,0,0,0,11655,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,47000,0,0,0,0,893,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,49000,0,0,0,0,1152,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,50000,0,0,0,0,5627,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,52000,1,1197,0,0,2370,0,0,0,359.0,0.0,11.9,0.0
3,2518,1,53000,0,0,0,0,2684,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,54000,0,0,0,0,1684,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,56000,0,0,0,0,1803,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,57000,0,0,0,0,4655,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,58000,0,0,0,0,1153,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,60000,6,6400,0,0,457724,0,267,0,124.1,0.0,11.7,0.0
3,2518,1,61000,0,0,0,0,1162,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,63000,1,6070,0,0,10015,0,0,0,239.0,0.0,11.4,0.0
3,2518,1,64000,0,0,0,0,2195,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,65000,2,3815,0,0,9785,0,0,0,359.4,0.0,8.8,0.0
3,2518,1,69000,0,0,0,0,7982,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,70000,0,0,0,0,1770,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,71000,0,0,0,0,40944,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,71100,0,0,0,0,25715,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,71140,0,0,0,0,12476,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,73000,0,0,0,0,816,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,75000,0,0,0,0,4893,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,76000,0,0,0,0,1728,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,77000,0,0,0,0,1328,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,78000,0,0,0,0,1425,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,79000,0,0,0,0,131269,0,53,0,0.0,0.0,0.0,0.0
3,2518,1,80000,0,0,0,0,10226,0,1,0,0.0,0.0,0.0,0.0
3,2518,1,82000,0,0,0,0,4712,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,83000,0,0,0,0,18765,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,85000,0,0,0,0,4681,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,87000,0,0,0,0,2997,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,90000,0,0,0,0,1882,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,91000,0,0,0,0,9637,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,92000,0,0,0,0,4624,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,94000,0,0,0,0,2779,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,98000,0,0,0,0,5500,0,0,0,0.0,0.0,0.0,0.0
3,2518,1.1,1000,0,0,0,0,3291,0,0,0,0.0,0.0,0.0,0.0
