REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,1,1000,21,51835.00000,0,0.00000,249.0,0.0,8.440,0.000,1378,0,1925772.26938,0.00000,14255.86444,0.00000,186.9,0.0,8.602,0.000
1,1,3000,21,60461.49200,0,0.00000,215.4,0.0,8.968,0.000,1447,2,2650577.14236,1924.16346,33352.39038,0.00000,213.0,157.7,8.563,10.000
1,1,4000,10,42043.41800,0,0.00000,211.3,0.0,8.859,0.000,756,1,1417710.63655,2312.39597,16252.50988,0.00000,187.7,157.4,8.862,7.000
1,1,5000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,18,0,59852.05303,0.00000,328.45831,0.00000,211.2,0.0,8.879,0.000
1,1,7000,2,5522.80000,0,0.00000,249.7,0.0,7.738,0.000,324,0,480835.38898,0.00000,10676.16722,0.00000,187.3,0.0,8.601,0.000
1,1,8000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,15,0,39611.07670,0.00000,0.00000,0.00000,213.6,0.0,8.270,0.000
1,1,10000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,2,0,2140.07038,0.00000,0.00000,0.00000,192.8,0.0,10.372,0.000
1,1,11000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,77,0,178243.95360,0.00000,4491.31797,0.00000,176.8,0.0,8.318,0.000
1,1,12000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,22,0,45565.42577,0.00000,0.00000,0.00000,213.1,0.0,8.738,0.000
1,1,14000,7,16881.34600,0,0.00000,221.9,0.0,8.762,0.000,277,0,424275.93800,0.00000,6785.30611,0.00000,178.2,0.0,8.686,0.000
1,1,15000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,22,0,66149.25346,0.00000,0.00000,0.00000,198.0,0.0,8.529,0.000
1,1,17000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,28,1,74554.74469,5542.05330,36.37300,597.53296,227.7,19.2,8.477,6.500
1,1,18000,11,19669.61400,0,0.00000,170.4,0.0,7.478,0.000,471,1,736865.01928,698.24252,10150.47946,0.00000,189.8,43.3,8.547,6.700
1,1,19000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,29,0,87617.66059,0.00000,0.62878,0.00000,205.5,0.0,8.058,0.000
1,1,20000,14,34354.22900,0,0.00000,215.8,0.0,8.688,0.000,889,0,1346445.49878,0.00000,27599.82581,0.00000,196.4,0.0,8.859,0.000
1,1,22000,31,102563.21900,0,0.00000,216.2,0.0,7.769,0.000,1306,1,2235989.18335,40474.86746,30340.23795,40474.86746,190.2,0.0,8.254,0.000
1,1,24000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,17,1,46513.02847,23917.23493,0.00000,23917.23493,209.0,0.0,8.154,0.000
1,1,25000,1,4020.00000,0,0.00000,360.0,0.0,8.500,0.000,32,0,75397.93852,0.00000,5793.71554,0.00000,237.2,0.0,8.238,0.000
1,1,26000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,1,0,1325.38252,0.00000,0.00000,0.00000,224.6,0.0,5.900,0.000
1,1,27000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,12,0,38818.15051,0.00000,0.00000,0.00000,201.9,0.0,8.051,0.000
1,1,28000,3,15051.40000,0,0.00000,224.3,0.0,5.821,0.000,39,0,194262.54530,0.00000,16175.88824,0.00000,169.3,0.0,8.698,0.000
1,1,29000,1,2248.06500,0,0.00000,96.1,0.0,7.950,0.000,103,1,150235.46008,8505.22381,1770.68186,0.00000,174.9,141.6,9.344,6.500
1,1,30000,1,7538.94000,0,0.00000,108.1,0.0,8.100,0.000,7,0,14777.65756,0.00000,0.00000,0.00000,164.9,0.0,8.826,0.000
1,1,32000,0,0.00000,0,0.00000,0.0,0.0,0.000,0.000,92,0,196328.12241,0.00000,2.24522,0.00000,197.1,0.0,8.688,0.000
1,1,33000,1,3600.00000,0,0.00000,300.2,0.0,8.700,0.000,37,0,94864.50769,0.00000,3.68789,0.00000,226.0,0.0,8.518,0.000
1,1,34000,1,2619.97100,0,0.00000,108.1,0.0,4.990,0.000,14,0,39102.17126,0.00000,0.00000,0.00000,211.5,0.0,8.005,0.000
