CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,27,21077,0,0,131369,0,2169,0,155.2,0.0,12.128,0.000
1,2015,1.1,1000,18,17924,0,0,126897,0,56,0,155.2,0.0,12.128,0.000
1,2015,1.1.1,1000,0,0,0,0,1186,0,0,0,0.0,0.0,0.000,0.000
1,2659,1,1000,8,5524,0,0,5219,0,0,0,131.0,0.0,9.418,0.000
1,2659,1.1,1000,8,5524,0,0,5219,0,0,0,131.0,0.0,9.418,0.000
1,2659,1.1.1,1000,2,1000,0,0,0,0,0,0,131.0,0.0,9.418,0.000
3,232,1,3000,3,9183,0,0,262691,0,0,0,113.2,0.0,11.986,0.000
3,232,1,36000,0,0,0,0,1574,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1,3000,1,7500,0,0,259983,0,0,0,119.7,0.0,12.000,0.000
3,232,1.1,36000,0,0,0,0,1574,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,3000,0,0,0,0,3914,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1,3000,0,0,0,0,16154,0,155,0,0.0,0.0,0.000,0.000
3,478,1,35000,0,0,0,0,5385,0,0,0,0.0,0.0,0.000,0.000
3,478,1,45000,0,0,0,0,944,0,0,0,0.0,0.0,0.000,0.000
3,478,1,60000,0,0,0,0,1075,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,3000,0,0,0,0,16154,0,155,0,0.0,0.0,0.000,0.000
3,478,1.1,35000,0,0,0,0,484,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,60000,0,0,0,0,1075,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,518,1,3000,0,0,0,0,1462,0,16,0,0.0,0.0,0.000,0.000
3,518,1.1,3000,0,0,0,0,1462,0,16,0,0.0,0.0,0.000,0.000
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,665,1,3000,0,0,0,0,790,0,0,0,0.0,0.0,0.000,0.000
3,665,1,79000,0,0,0,0,190,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1,3000,0,0,0,0,790,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1,79000,0,0,0,0,190,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,665,1.1.1,79000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,1000,1,1350,0,0,6383,0,0,0,299.8,0.0,7.700,0.000
3,2518,1,3000,203,341709,0,0,6483074,0,15342,0,222.1,0.0,9.367,0.000
3,2518,1,4000,2,4119,0,0,16493,0,0,0,180.0,0.0,10.017,0.000
3,2518,1,5000,0,0,0,0,2723,0,0,0,0.0,0.0,0.000,0.000
3,2518,1,7000,1,1600,0,0,82431,0,9,0,239.8,0.0,7.700,0.000
3,2518,1,8000,3,4994,0,0,15016,0,0,0,283.2,0.0,9.213,0.000
3,2518,1,10000,0,0,0,0,4493,0,0,0,0.0,0.0,0.000,0.000
