CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,14,6765,0,0,69271,0,2963,0,41.6,0.0,17.4,0.0
1,2015,1.1,1000,14,6765,0,0,62033,0,850,0,41.6,0.0,17.4,0.0
1,2015,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,1000,5,2249,0,0,30105,0,0,0,3.0,0.0,16.5,0.0
1,2388,1,45000,0,0,0,0,3371,0,631,0,0.0,0.0,0.0,0.0
1,2388,1,84000,0,0,0,0,1908,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,1000,5,2249,0,0,30105,0,0,0,3.0,0.0,16.5,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,631,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,0,0,0,0,1908,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,0,0,0,0,657,0,0,0,0.0,0.0,0.0,0.0
1,2659,1.1,1000,0,0,0,0,657,0,0,0,0.0,0.0,0.0,0.0
1,2659,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,232,1,3000,1,3650,0,0,124151,0,0,0,83.7,0.0,14.0,0.0
3,232,1,36000,0,0,0,0,1664,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1,3000,1,3650,0,0,124151,0,0,0,83.7,0.0,14.0,0.0
3,232,1.1,36000,0,0,0,0,1664,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1,3000,0,0,0,0,1844,0,5,0,0.0,0.0,0.0,0.0
3,456,1,14000,0,0,0,0,833,0,0,0,0.0,0.0,0.0,0.0
3,456,1,45000,0,0,0,0,135610,0,0,0,0.0,0.0,0.0,0.0
3,456,1,46000,0,0,0,0,127565,0,24,0,0.0,0.0,0.0,0.0
3,456,1.1,3000,0,0,0,0,1844,0,5,0,0.0,0.0,0.0,0.0
3,456,1.1,14000,0,0,0,0,833,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,45000,0,0,0,0,79310,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,46000,0,0,0,0,100500,0,24,0,0.0,0.0,0.0,0.0
3,456,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,14000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1,3000,0,0,0,0,1783,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,2704,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1340,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,3000,0,0,0,0,1783,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,2704,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1340,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,0,0,0,0,10813,0,12,0,0.0,0.0,0.0,0.0
3,478,1,35000,0,0,0,0,5879,0,0,0,0.0,0.0,0.0,0.0
3,478,1,45000,0,0,0,0,3211,0,0,0,0.0,0.0,0.0,0.0
3,478,1,60000,0,0,0,0,1087,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,0,0,0,0,10813,0,12,0,0.0,0.0,0.0,0.0
3,478,1.1,35000,0,0,0,0,512,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,60000,0,0,0,0,1087,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,35000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,60000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,2047,0,103,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,2047,0,103,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,0,0,0,0,3273,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,3000,154,242656,0,0,4828877,0,4555,0,202.3,0.0,11.5,0.0
3,2518,1,4000,0,0,0,0,13848,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,5000,0,0,0,0,1321,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,7000,1,1957,0,0,67035,0,0,0,359.9,0.0,8.8,0.0
3,2518,1,8000,0,0,0,0,10364,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,10000,0,0,0,0,3304,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,11000,0,0,0,0,381,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,12000,0,0,0,0,3933,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,14000,0,0,0,0,2996,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,15000,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,18000,1,2000,0,0,17837,0,0,0,155.2,0.0,12.9,0.0
3,2518,1,19000,0,0,0,0,967,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,20000,0,0,0,0,2960,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,24000,0,0,0,0,1373,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,25000,0,0,0,0,2407,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,27000,0,0,0,0,2020,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,28000,0,0,0,0,1311,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,29000,0,0,0,0,765,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,30000,0,0,0,0,456,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,32000,0,0,0,0,11371,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,33000,0,0,0,0,2940,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,35000,0,0,0,0,5385,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,36000,1,1477,0,0,1903,0,0,0,59.4,0.0,11.8,0.0
3,2518,1,37000,0,0,0,0,1294,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,40000,0,0,0,0,1293,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,41000,0,0,0,0,751,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,42000,0,0,0,0,1452,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,44000,0,0,0,0,1879,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,45000,2,5553,0,0,27127,0,0,0,190.5,0.0,11.9,0.0
3,2518,1,46000,0,0,0,0,11578,0,8,0,0.0,0.0,0.0,0.0
3,2518,1,47000,0,0,0,0,852,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,49000,0,0,0,0,1146,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,50000,0,0,0,0,5583,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,52000,1,1197,0,0,2350,0,0,0,359.0,0.0,11.9,0.0
3,2518,1,53000,0,0,0,0,2610,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,54000,0,0,0,0,1678,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,56000,0,0,0,0,1803,0,5,0,0.0,0.0,0.0,0.0
3,2518,1,57000,0,0,0,0,4635,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,58000,0,0,0,0,1148,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,60000,15,19373,0,0,462261,0,310,0,183.5,0.0,11.6,0.0
3,2518,1,61000,0,0,0,0,1158,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,63000,1,6070,0,0,9983,0,0,0,239.0,0.0,11.4,0.0
3,2518,1,64000,0,0,0,0,2192,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,65000,2,3815,0,0,9599,0,0,0,359.4,0.0,8.8,0.0
3,2518,1,67000,1,471,0,0,471,0,0,0,24.0,0.0,11.5,0.0
3,2518,1,69000,1,2167,0,0,10123,0,0,0,359.1,0.0,11.4,0.0
3,2518,1,70000,0,0,0,0,1765,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,71000,0,0,0,0,41123,0,11,0,0.0,0.0,0.0,0.0
3,2518,1,71100,0,0,0,0,25577,0,11,0,0.0,0.0,0.0,0.0
3,2518,1,71140,0,0,0,0,12808,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,73000,0,0,0,0,809,0,0,0,0.0,0.0,0.0,0.0
