CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,826,1,1000,1,2000,0,0,5522,0,512,0,119.9,0.0,12.0,0.0
1,826,1,28000,0,0,0,0,1517,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,1000,0,0,0,0,602,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,28000,0,0,0,0,1517,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1.1,28000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2015,1,1000,249,158414,0,0,83981,0,3613,0,77.7,0.0,15.7,0.0
1,2015,1.1,1000,248,157974,0,0,75697,0,1500,0,77.7,0.0,15.7,0.0
1,2015,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,1000,69,76503,0,0,27579,0,5,0,156.8,0.0,12.1,0.0
1,2388,1,32000,0,0,0,0,339,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,36000,1,700,0,0,0,0,0,0,347.7,0.0,13.8,0.0
1,2388,1,45000,0,0,0,0,3371,0,469,0,0.0,0.0,0.0,0.0
1,2388,1,84000,1,2000,0,0,1956,0,0,0,119.6,0.0,12.5,0.0
1,2388,1.1,1000,69,76503,0,0,27579,0,5,0,156.8,0.0,12.1,0.0
1,2388,1.1,32000,0,0,0,0,339,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,36000,1,700,0,0,0,0,0,0,347.7,0.0,13.8,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,469,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,1,2000,0,0,1956,0,0,0,119.6,0.0,12.5,0.0
1,2388,1.1.1,1000,9,13267,0,0,10933,0,0,0,154.9,0.0,10.8,0.0
1,2388,1.1.1,32000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,6,7252,0,0,668,0,0,0,193.0,0.0,13.3,0.0
1,2659,1.1,1000,6,7252,0,0,668,0,0,0,193.0,0.0,13.3,0.0
1,2659,1.1.1,1000,2,2168,0,0,0,0,0,0,193.0,0.0,13.3,0.0
3,232,1,3000,2,12000,0,0,48888,0,0,0,90.1,0.0,15.3,0.0
3,232,1.1,3000,2,12000,0,0,48376,0,0,0,90.1,0.0,15.3,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,430,1,18000,1,2600,0,0,2595,0,0,0,180.0,0.0,14.0,0.0
3,430,1,45000,1,35000,0,0,148520,0,0,0,60.0,0.0,18.0,0.0
3,430,1,46000,1,100000,0,0,100000,0,0,0,180.0,0.0,14.0,0.0
3,430,1,82000,1,30000,0,0,29976,0,0,0,240.0,0.0,16.0,0.0
3,430,1.1,18000,1,2600,0,0,2595,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1,45000,1,35000,0,0,148520,0,0,0,60.0,0.0,18.0,0.0
3,430,1.1,46000,1,100000,0,0,100000,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1,82000,1,30000,0,0,29976,0,0,0,240.0,0.0,16.0,0.0
3,430,1.1.1,18000,1,2600,0,0,2595,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1.1,45000,1,35000,0,0,148520,0,0,0,60.0,0.0,18.0,0.0
3,430,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,430,1.1.1,82000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1,3000,0,0,0,0,1951,0,6,0,0.0,0.0,0.0,0.0
3,456,1,14000,1,1000,0,0,972,0,0,0,36.0,0.0,23.0,0.0
3,456,1,17000,1,600,0,0,0,0,0,0,24.0,0.0,21.0,0.0
3,456,1,45000,3,63780,0,0,119265,0,0,0,65.4,0.0,20.0,0.0
3,456,1,46000,1,40000,0,0,40431,0,0,0,60.0,0.0,20.0,0.0
3,456,1.1,3000,0,0,0,0,1951,0,6,0,0.0,0.0,0.0,0.0
3,456,1.1,14000,1,1000,0,0,972,0,0,0,36.0,0.0,23.0,0.0
3,456,1.1,17000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,45000,0,0,0,0,45485,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,46000,1,40000,0,0,40431,0,0,0,60.0,0.0,20.0,0.0
3,456,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,14000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,17000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1,3000,0,0,0,0,1940,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,2948,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1392,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,3000,0,0,0,0,1940,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,2948,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1392,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,45000,0,0,0,0,198,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,3,6087,0,0,18460,0,0,0,248.7,0.0,12.2,0.0
3,478,1,45000,0,0,0,0,4156,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,3,6087,0,0,10969,0,0,0,248.7,0.0,12.2,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,2215,0,146,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,2215,0,146,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,3,2494,0,0,3349,0,0,0,144.2,0.0,11.7,0.0
3,2518,1,3000,877,1237059,0,0,4554210,0,6953,0,200.8,0.0,11.3,0.0
3,2518,1,4000,3,4670,0,0,16549,0,0,0,133.1,0.0,12.4,0.0
