CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,826,1,1000,1,2000,0,0,5613,0,512,0,119.9,0.0,12.0,0.0
1,826,1,28000,0,0,0,0,1542,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,1000,0,0,0,0,614,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,28000,0,0,0,0,1542,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1.1,28000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2015,1,1000,227,142094,0,0,87234,0,3027,0,70.6,0.0,15.8,0.0
1,2015,1.1,1000,226,141654,0,0,79255,0,914,0,70.6,0.0,15.8,0.0
1,2015,1.1.1,1000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,1000,62,67451,0,0,28865,0,0,0,153.5,0.0,12.2,0.0
1,2388,1,32000,0,0,0,0,344,0,0,0,0.0,0.0,0.0,0.0
1,2388,1,36000,1,700,0,0,0,0,0,0,347.7,0.0,13.8,0.0
1,2388,1,45000,0,0,0,0,3371,0,437,0,0.0,0.0,0.0,0.0
1,2388,1,84000,1,2000,0,0,1965,0,0,0,119.6,0.0,12.5,0.0
1,2388,1.1,1000,62,67451,0,0,28865,0,0,0,153.5,0.0,12.2,0.0
1,2388,1.1,32000,0,0,0,0,344,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1,36000,1,700,0,0,0,0,0,0,347.7,0.0,13.8,0.0
1,2388,1.1,45000,0,0,0,0,3371,0,437,0,0.0,0.0,0.0,0.0
1,2388,1.1,84000,1,2000,0,0,1965,0,0,0,119.6,0.0,12.5,0.0
1,2388,1.1.1,1000,6,9069,0,0,7494,0,0,0,148.3,0.0,10.8,0.0
1,2388,1.1.1,32000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2388,1.1.1,84000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2659,1,1000,4,5972,0,0,670,0,0,0,200.0,0.0,13.6,0.0
1,2659,1.1,1000,4,5972,0,0,670,0,0,0,200.0,0.0,13.6,0.0
1,2659,1.1.1,1000,1,1268,0,0,0,0,0,0,200.0,0.0,13.6,0.0
3,232,1,3000,2,12000,0,0,52931,0,0,0,90.1,0.0,15.3,0.0
3,232,1.1,3000,2,12000,0,0,52394,0,0,0,90.1,0.0,15.3,0.0
3,232,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,430,1,45000,0,0,0,0,115000,0,0,0,0.0,0.0,0.0,0.0
3,430,1,46000,1,100000,0,0,100000,0,0,0,180.0,0.0,14.0,0.0
3,430,1,82000,1,30000,0,0,30000,0,0,0,240.0,0.0,16.0,0.0
3,430,1.1,45000,0,0,0,0,115000,0,0,0,0.0,0.0,0.0,0.0
3,430,1.1,46000,1,100000,0,0,100000,0,0,0,180.0,0.0,14.0,0.0
3,430,1.1,82000,1,30000,0,0,30000,0,0,0,240.0,0.0,16.0,0.0
3,430,1.1.1,45000,0,0,0,0,115000,0,0,0,0.0,0.0,0.0,0.0
3,430,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,430,1.1.1,82000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1,3000,0,0,0,0,1973,0,6,0,0.0,0.0,0.0,0.0
3,456,1,17000,1,600,0,0,147,0,0,0,24.0,0.0,21.0,0.0
3,456,1,45000,2,49200,0,0,119833,0,0,0,67.0,0.0,20.0,0.0
3,456,1,46000,1,40000,0,0,40455,0,0,0,60.0,0.0,20.0,0.0
3,456,1.1,3000,0,0,0,0,1973,0,6,0,0.0,0.0,0.0,0.0
3,456,1.1,17000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,45000,0,0,0,0,60633,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,46000,1,40000,0,0,40455,0,0,0,60.0,0.0,20.0,0.0
3,456,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,17000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1,3000,0,0,0,0,1945,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,2978,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1402,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,3000,0,0,0,0,1945,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,2978,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1402,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,45000,0,0,0,0,218,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,3,6087,0,0,18984,0,9,0,248.7,0.0,12.2,0.0
3,478,1,45000,0,0,0,0,4344,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,3000,3,6087,0,0,11067,0,9,0,248.7,0.0,12.2,0.0
3,478,1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,518,1,3000,0,0,0,0,2369,0,117,0,0.0,0.0,0.0,0.0
3,518,1.1,3000,0,0,0,0,2369,0,117,0,0.0,0.0,0.0,0.0
3,518,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,1000,3,2494,0,0,3364,0,0,0,144.2,0.0,11.7,0.0
3,2518,1,3000,766,1080544,0,0,4492119,0,6874,0,200.7,0.0,11.3,0.0
3,2518,1,4000,2,3490,0,0,15476,0,0,0,137.8,0.0,12.5,0.0
3,2518,1,5000,0,0,0,0,1594,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,7000,9,15584,0,0,64382,0,0,0,227.4,0.0,12.0,0.0
3,2518,1,8000,2,2638,0,0,9631,0,0,0,214.3,0.0,11.9,0.0
3,2518,1,10000,2,3018,0,0,3430,0,0,0,136.3,0.0,11.9,0.0
3,2518,1,12000,1,1703,0,0,4090,0,0,0,179.9,0.0,11.9,0.0
3,2518,1,14000,0,0,0,0,3278,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,15000,1,500,0,0,33,0,0,0,239.2,0.0,8.8,0.0
3,2518,1,18000,4,5455,0,0,14767,0,0,0,205.9,0.0,11.1,0.0
3,2518,1,19000,0,0,0,0,996,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,20000,1,1399,0,0,3630,0,0,0,179.6,0.0,11.9,0.0
3,2518,1,24000,0,0,0,0,1390,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,25000,0,0,0,0,2433,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,27000,0,0,0,0,2038,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,28000,1,1320,0,0,1320,0,0,0,239.7,0.0,11.9,0.0
3,2518,1,29000,0,0,0,0,964,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,30000,0,0,0,0,3235,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,32000,3,4758,0,0,10334,0,0,0,206.4,0.0,12.3,0.0
3,2518,1,33000,3,2485,0,0,3009,0,0,0,183.5,0.0,11.9,0.0
3,2518,1,35000,2,3069,0,0,3985,0,0,0,341.1,0.0,12.2,0.0
3,2518,1,36000,0,0,0,0,2659,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,37000,0,0,0,0,1627,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,40000,0,0,0,0,2449,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,41000,0,0,0,0,792,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,42000,0,0,0,0,1512,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,44000,0,0,0,0,3486,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,45000,0,0,0,0,15997,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,46000,3,4026,0,0,11362,0,0,0,202.2,0.0,10.5,0.0
3,2518,1,47000,1,1330,0,0,1130,0,0,0,119.7,0.0,11.9,0.0
3,2518,1,49000,1,1177,0,0,1177,0,0,0,179.7,0.0,8.8,0.0
3,2518,1,50000,4,6304,0,0,7481,0,0,0,229.2,0.0,11.2,0.0
3,2518,1,52000,1,843,0,0,1487,0,0,0,179.8,0.0,11.9,0.0
3,2518,1,53000,2,1482,0,0,2850,0,0,0,159.0,0.0,12.7,0.0
3,2518,1,54000,0,0,0,0,1710,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,56000,0,0,0,0,1819,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,57000,1,3500,0,0,5438,0,0,0,155.2,0.0,15.0,0.0
3,2518,1,58000,0,0,0,0,1171,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,60000,100,146830,0,0,453944,0,192,0,197.7,0.0,11.4,0.0
3,2518,1,61000,1,1179,0,0,1174,0,0,0,180.0,0.0,11.9,0.0
3,2518,1,63000,0,0,0,0,2957,0,0,0,0.0,0.0,0.0,0.0
3,2518,1,65000,3,7890,0,0,10324,0,0,0,95.3,0.0,12.3,0.0
3,2518,1,69000,3,3995,0,0,8077,0,0,0,288.2,0.0,11.2,0.0
3,2518,1,71000,12,18803,0,0,35762,0,0,0,201.5,0.0,10.7,0.0
3,2518,1,71100,9,13764,0,0,23635,0,0,0,205.6,0.0,11.9,0.0
3,2518,1,71140,1,1728,0,0,9306,0,0,0,119.1,0.0,9.8,0.0
