CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,2015,1,1000,172,138444,0,0,151752,0,2113,0,124.6,0.0,12.689,0.000
1,2015,1.1,1000,163,135291,0,0,147692,0,0,0,124.6,0.0,12.869,0.000
1,2015,1.1.1,1000,6,6249,0,0,3543,0,0,0,193.7,0.0,9.290,0.000
1,2659,1,1000,42,42645,0,0,8110,0,0,0,162.0,0.0,9.364,0.000
1,2659,1.1,1000,42,42645,0,0,8110,0,0,0,162.0,0.0,9.364,0.000
1,2659,1.1.1,1000,4,2870,0,0,0,0,0,0,162.0,0.0,9.364,0.000
3,232,1,3000,24,111252,0,0,324154,0,0,0,161.9,0.0,11.408,0.000
3,232,1,36000,0,0,0,0,1482,0,0,0,0.0,0.0,0.000,0.000
3,232,1,45000,1,3280,0,0,2799,0,0,0,179.7,0.0,10.500,0.000
3,232,1,46000,1,5700,0,0,5645,0,0,0,180.0,0.0,9.600,0.000
3,232,1,70000,1,9600,0,0,9600,0,0,0,347.6,0.0,10.700,0.000
3,232,1.1,3000,22,109569,0,0,321847,0,0,0,163.1,0.0,11.404,0.000
3,232,1.1,36000,0,0,0,0,1482,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1,45000,1,3280,0,0,2799,0,0,0,179.7,0.0,10.500,0.000
3,232,1.1,46000,1,5700,0,0,5645,0,0,0,180.0,0.0,9.600,0.000
3,232,1.1,70000,1,9600,0,0,9600,0,0,0,347.6,0.0,10.700,0.000
3,232,1.1.1,3000,1,2398,0,0,5377,0,0,0,239.4,0.0,10.000,0.000
3,232,1.1.1,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,45000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,46000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,232,1.1.1,70000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
3,478,1,3000,3,3380,0,0,17792,0,54,0,187.4,0.0,12.856,0.000
3,478,1,35000,0,0,0,0,465,0,0,0,0.0,0.0,0.000,0.000
3,478,1,60000,0,0,0,0,1072,0,5,0,0.0,0.0,0.000,0.000
3,478,1.1,3000,3,3380,0,0,17792,0,54,0,187.4,0.0,12.856,0.000
3,478,1.1,35000,0,0,0,0,465,0,0,0,0.0,0.0,0.000,0.000
3,478,1.1,60000,0,0,0,0,1072,0,5,0,0.0,0.0,0.000,0.000
3,478,1.1.1,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.000,0.000
