CP,REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,826,1,1000,0,0,0,0,9624,0,3313,0,0.0,0.0,0.0,0.0
1,826,1,28000,0,0,0,0,1742,0,0,0,0.0,0.0,0.0,0.0
1,826,1.1,1000,0,0,0,0,3306,0,10,0,0.0,0.0,0.0,0.0
1,826,1.1,28000,0,0,0,0,1742,0,0,0,0.0,0.0,0.0,0.0
1,2015,1,1000,312,165557,0,0,79313,0,3475,0,44.1,0.0,17.3,0.0
1,2015,1.1,1000,303,162186,0,0,69960,0,1362,0,44.5,0.0,17.3,0.0
1,2388,1,1000,97,105153,0,0,29428,0,0,0,195.2,0.0,12.2,0.0
1,2388,1,32000,1,840,0,0,833,0,0,0,29.5,0.0,15.0,0.0
1,2388,1,45000,0,0,0,0,3383,0,213,0,0.0,0.0,0.0,0.0
1,2388,1.1,1000,97,105153,0,0,29428,0,0,0,192.2,0.0,12.2,0.0
1,2388,1.1,32000,1,840,0,0,833,0,0,0,29.5,0.0,15.0,0.0
1,2388,1.1,45000,0,0,0,0,3383,0,213,0,0.0,0.0,0.0,0.0
1,2659,1,1000,35,38800,0,0,687,0,0,0,209.0,0.0,12.7,0.0
1,2659,1.1,1000,35,38800,0,0,687,0,0,0,209.0,0.0,12.7,0.0
3,232,1,3000,5,36330,0,0,95731,0,1900,0,103.6,0.0,16.8,0.0
3,232,1.1,3000,5,29330,0,0,79962,0,1900,0,119.4,0.0,16.9,0.0
3,430,1,45000,2,115000,0,0,115000,0,0,0,120.0,0.0,19.0,0.0
3,430,1.1,45000,2,115000,0,0,115000,0,0,0,120.0,0.0,19.0,0.0
3,456,1,3000,0,0,0,0,2122,0,0,0,0.0,0.0,0.0,0.0
3,456,1,45000,3,62800,0,0,92417,0,0,0,36.0,0.0,22.4,0.0
3,456,1,46000,0,0,0,0,670,0,25,0,0.0,0.0,0.0,0.0
3,456,1.1,3000,0,0,0,0,2122,0,0,0,0.0,0.0,0.0,0.0
3,456,1.1,45000,2,47800,0,0,65167,0,0,0,36.0,0.0,22.3,0.0
3,456,1.1,46000,0,0,0,0,670,0,25,0,0.0,0.0,0.0,0.0
3,467,1,3000,0,0,0,0,2078,0,0,0,0.0,0.0,0.0,0.0
3,467,1,45000,0,0,0,0,3504,0,0,0,0.0,0.0,0.0,0.0
3,467,1,46000,0,0,0,0,1478,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,3000,0,0,0,0,2078,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,45000,0,0,0,0,3204,0,0,0,0.0,0.0,0.0,0.0
3,467,1.1,46000,0,0,0,0,1478,0,0,0,0.0,0.0,0.0,0.0
3,478,1,3000,1,2500,0,0,12223,0,0,0,18.0,0.0,16.5,0.0
3,478,1,7000,1,2100,0,0,2090,0,0,0,299.8,0.0,14.0,0.0
3,478,1,45000,2,6800,0,0,5856,0,0,0,35.9,0.0,17.0,0.0
3,478,1.1,3000,0,0,0,0,3682,0,0,0,0.0,0.0,0.0,0.0
3,478,1.1,7000,1,2100,0,0,2090,0,0,0,299.8,0.0,14.0,0.0
